cell,population,mean,std,stderr
2264,1329,156.30,12.87,1.82
853,1319,96.62,9.29,1.31
7266,1292,170.26,12.87,1.82
9715,1264,120.68,9.81,1.39
9712,1258,185.34,14.14,2.00
7673,1219,64.56,9.16,1.30
10356,1212,224.30,16.01,2.26
919,1182,97.46,10.85,1.53
1814,1176,162.44,13.87,1.96
2347,1161,74.64,8.96,1.27
8678,1134,330.18,16.61,2.35
9404,1111,89.04,8.80,1.25
2212,1105,157.20,10.17,1.44
10397,1081,141.50,11.98,1.69
9193,1072,188.78,14.83,2.10
9716,1050,119.10,11.45,1.62
5921,1035,88.86,9.27,1.31
5270,1022,165.42,10.48,1.48
2446,1012,95.42,10.07,1.42
1631,991,144.24,11.28,1.59
3409,966,262.06,15.78,2.23
4178,962,125.76,8.43,1.19
1845,943,138.48,11.74,1.66
6098,934,174.14,12.72,1.80
10164,915,81.70,9.12,1.29
598,903,112.22,11.36,1.61
10611,892,137.44,11.01,1.56
1944,875,94.32,8.37,1.18
3390,867,163.32,11.72,1.66
10119,847,150.80,10.73,1.52
10350,833,147.94,13.08,1.85
1100,822,146.70,12.33,1.74
3749,806,57.26,6.58,0.93
4131,804,148.24,13.89,1.96
1572,781,140.40,12.23,1.73
4780,768,112.68,9.65,1.37
837,761,99.88,10.51,1.49
8676,746,168.72,11.73,1.66
10450,736,140.80,10.48,1.48
1948,726,67.68,7.88,1.11
362,710,129.08,11.33,1.60
1408,694,86.74,9.28,1.31
1662,687,128.28,8.95,1.27
4448,670,51.62,7.34,1.04
5032,659,98.90,9.83,1.39
874,639,153.18,12.53,1.77
10023,633,131.62,13.53,1.91
4866,615,116.94,11.95,1.69
7546,598,46.48,6.78,0.96
4863,591,109.52,8.65,1.22
6688,580,51.06,6.32,0.89
3014,560,67.36,8.44,1.19
6282,547,131.20,12.15,1.72
7413,534,110.02,9.34,1.32
196,512,60.58,6.80,0.96
925,501,94.74,9.04,1.28
5468,483,85.80,8.04,1.14
4039,469,229.40,13.24,1.87
388,439,93.50,8.00,1.13
4725,436,91.14,8.32,1.18
4135,404,75.38,7.95,1.12
5011,393,71.40,10.04,1.42
10932,377,40.38,6.69,0.95
8745,346,83.68,9.22,1.30
7999,320,74.18,8.66,1.22
8885,301,64.56,7.63,1.08
4182,275,124.62,12.37,1.75
7362,259,42.06,5.53,0.78
6718,219,47.56,6.41,0.91
6721,189,39.52,6.27,0.89
6223,167,44.78,6.42,0.91
